target,model,test_year,feature,mean_abs_shap,mean_shap,importance_rank
Top10,M0_baseline,2023,qualifying_position,0.7528192337044555,0.05693408343750265,1.0
Top10,M0_baseline,2023,driver_points_mean_last3,0.0993615195517006,-0.02186849917965141,6.0
Top10,M0_baseline,2023,team_points_mean_last3,0.08671191686698386,0.0015537434172360606,7.0
Top10,M0_baseline,2023,driver_incident_rate_last10,0.0067734826809320095,0.0027771194357774673,10.0
Top10,M0_baseline,2023,driver_previous_starts,0.13046608535329596,0.0412004019308147,4.0
Top10,M0_baseline,2023,exposure_history_count,0.008098295157872228,0.0029496490880668294,9.0
Top10,M0_baseline,2023,DriverId,0.21329550355636157,0.02525408982117432,3.0
Top10,M0_baseline,2023,TeamId,0.4871368144643174,-0.02885072488638966,2.0
Top10,M0_baseline,2023,location,0.036325283529055695,-0.0254427540494562,8.0
Top10,M0_baseline,2023,season,0.10982012905580163,0.10982012905580163,5.0
Top10,M1S_symmetric_qualifying,2023,qualifying_position,0.6856824686130301,0.032349811361878755,1.0
Top10,M1S_symmetric_qualifying,2023,driver_points_mean_last3,0.1526523764691966,-0.0015446060584406226,4.0
Top10,M1S_symmetric_qualifying,2023,team_points_mean_last3,0.13845445994599187,-0.02459643725453867,5.0
Top10,M1S_symmetric_qualifying,2023,driver_incident_rate_last10,0.007469242786694569,0.003659938100248775,11.0
Top10,M1S_symmetric_qualifying,2023,driver_previous_starts,0.11396408010429532,0.028577398898858502,7.0
Top10,M1S_symmetric_qualifying,2023,exposure_history_count,0.010337178325588165,0.005059789308195932,10.0
Top10,M1S_symmetric_qualifying,2023,DriverId,0.1706089347873924,0.03471669268484066,3.0
Top10,M1S_symmetric_qualifying,2023,TeamId,0.40497579029757047,-0.00620233948137128,2.0
Top10,M1S_symmetric_qualifying,2023,location,0.027485787907020935,-0.00032745194550357526,9.0
Top10,M1S_symmetric_qualifying,2023,season,0.13071133048197522,0.13071133048197522,6.0
Top10,M1S_symmetric_qualifying,2023,qualifying_surprise,0.08057583040588535,0.016700645290546528,8.0
Top10,M1A_asymmetric_qualifying,2023,qualifying_position,0.6798161698997075,0.03690892081100166,1.0
Top10,M1A_asymmetric_qualifying,2023,driver_points_mean_last3,0.13841883182779807,-0.020863908847279684,4.0
Top10,M1A_asymmetric_qualifying,2023,team_points_mean_last3,0.1274615435667986,0.002906914467258743,6.0
Top10,M1A_asymmetric_qualifying,2023,driver_incident_rate_last10,0.003937962244280955,0.002189942945986236,12.0
Top10,M1A_asymmetric_qualifying,2023,driver_previous_starts,0.12828002757465892,0.048283314043633875,5.0
Top10,M1A_asymmetric_qualifying,2023,exposure_history_count,0.006598683607524861,-0.0002416484410732005,11.0
Top10,M1A_asymmetric_qualifying,2023,DriverId,0.1636894693202744,0.010631791005034863,3.0
Top10,M1A_asymmetric_qualifying,2023,TeamId,0.4562776942876734,-0.011481067278276214,2.0
Top10,M1A_asymmetric_qualifying,2023,location,0.029281828344393718,0.012368881870392428,9.0
Top10,M1A_asymmetric_qualifying,2023,season,0.09531682965093582,0.08954798527082627,7.0
Top10,M1A_asymmetric_qualifying,2023,positive_qualifying_surprise,0.03715716884291368,0.006684031590457099,8.0
Top10,M1A_asymmetric_qualifying,2023,negative_qualifying_surprise,0.02395266396157576,-2.854065115660146e-05,10.0
Top10,M2S_symmetric_gain_loss,2023,qualifying_position,0.7072648478682062,-0.008674723528575666,1.0
