target,model,feature,mean_abs_shap,mean_shap,n,importance_share,importance_rank
Top10,M2A_asymmetric_gain_loss,recent_loss_exposure,0.043928389296912285,-0.008876524955605324,1022,0.02209974258681639,9.0
Top10,M2A_asymmetric_gain_loss,recent_gain_exposure,0.023112032091755955,0.008917757759783426,1022,0.011627331847606533,10.0
Top10,M2A_asymmetric_gain_loss,exposure_history_count,0.008169162745773681,-0.002426560193855854,1022,0.004109788606433116,11.0
Top10,M2A_asymmetric_gain_loss,driver_incident_rate_last10,0.005743233647769376,0.00458876283370303,1022,0.0028893384725254922,12.0
Top10,M2S_symmetric_gain_loss,qualifying_position,0.7510420609900452,0.011063952356288707,1022,0.38299858044855284,1.0
Top10,M2S_symmetric_gain_loss,TeamId,0.45408261388051285,0.0423049938411882,1022,0.23156225936713537,2.0
Top10,M2S_symmetric_gain_loss,DriverId,0.19517336745575814,0.03805349723740996,1022,0.09952987530203045,3.0
Top10,M2S_symmetric_gain_loss,driver_points_mean_last3,0.16404326704570618,-0.014493444715283238,1022,0.08365488655565603,4.0
Top10,M2S_symmetric_gain_loss,team_points_mean_last3,0.14362998651571138,0.0023504063547347023,1022,0.07324500690793052,5.0
Top10,M2S_symmetric_gain_loss,driver_previous_starts,0.09460522387319621,0.021695200867456653,1022,0.048244523613880465,6.0
Top10,M2S_symmetric_gain_loss,season,0.06801254861703994,-0.020912794484637325,1022,0.034683423107723585,7.0
Top10,M2S_symmetric_gain_loss,net_recent_deviation,0.0446697223838045,0.0007646467298423411,1022,0.022779603367986116,8.0
Top10,M2S_symmetric_gain_loss,location,0.033049120145662185,-0.011230093996711503,1022,0.016853604822313753,9.0
Top10,M2S_symmetric_gain_loss,exposure_history_count,0.00711483264884962,-0.001774147530136793,1022,0.0036282532579417544,10.0
Top10,M2S_symmetric_gain_loss,driver_incident_rate_last10,0.005529853475416528,0.0035977955703744447,1022,0.002819983248849093,11.0
Top10,M3A_full_asymmetric,qualifying_position,0.7650726184814193,0.015564009776423356,1022,0.38119038711824915,1.0
Top10,M3A_full_asymmetric,TeamId,0.43988874615329393,0.008203420496899944,1022,0.2191705171307313,2.0
Top10,M3A_full_asymmetric,DriverId,0.198305728104793,0.015294874266122895,1022,0.09880400296389402,3.0
Top10,M3A_full_asymmetric,team_points_mean_last3,0.1582982054931229,-0.01771101560945024,1022,0.07887062322504639,4.0
Top10,M3A_full_asymmetric,driver_points_mean_last3,0.15379677506377837,-0.013415503564101323,1022,0.0766278269642763,5.0
Top10,M3A_full_asymmetric,driver_previous_starts,0.1047840958336201,0.039784016836701554,1022,0.05220771086270868,6.0
Top10,M3A_full_asymmetric,recent_loss_exposure,0.0563722734077502,-0.015523308016612608,1022,0.028086966130990817,7.0
Top10,M3A_full_asymmetric,season,0.04535303893149513,-0.018494006008975827,1022,0.02259673402192934,8.0
Top10,M3A_full_asymmetric,location,0.025326605006216783,-0.00634791031313127,1022,0.012618747728644832,9.0
Top10,M3A_full_asymmetric,recent_gain_exposure,0.018559396270957196,-0.00012066868883375735,1022,0.009247048290983871,10.0
Top10,M3A_full_asymmetric,negative_qualifying_surprise,0.01633688570923947,0.003099419490368586,1022,0.008139702869215714,11.0
Top10,M3A_full_asymmetric,positive_qualifying_surprise,0.013176113940760495,0.0027319653845182743,1022,0.006564877440996319,12.0
Top10,M3A_full_asymmetric,exposure_history_count,0.005918870861383302,0.000846508801517074,1022,0.002949022903776056,13.0
Top10,M3A_full_asymmetric,driver_incident_rate_last10,0.005872325986683106,0.0016903618001294428,1022,0.002925832348557187,14.0
Top10,M3S_full_symmetric,qualifying_position,0.7288370593301199,0.017324178096192872,1022,0.3600818862296032,1.0
Top10,M3S_full_symmetric,TeamId,0.4671226498602844,-0.014837973395880047,1022,0.23078190482912314,2.0
Top10,M3S_full_symmetric,DriverId,0.1859791378545835,0.04621543832563975,1022,0.09188297699843145,3.0
Top10,M3S_full_symmetric,driver_points_mean_last3,0.15622477710655874,-0.00959984658745108,1022,0.0771828376400512,4.0
Top10,M3S_full_symmetric,team_points_mean_last3,0.137964210911888,-0.008362142861173576,1022,0.06816120648830794,5.0
Top10,M3S_full_symmetric,season,0.12216048328090601,0.07860233371374696,1022,0.06035337621681596,6.0
Top10,M3S_full_symmetric,driver_previous_starts,0.09847702548028082,0.04527713881448228,1022,0.04865256593539796,7.0
Top10,M3S_full_symmetric,net_recent_deviation,0.05091475363858416,-0.004363418639790548,1022,0.02515442963883778,8.0
Top10,M3S_full_symmetric,location,0.03591166177515453,0.011738581849371163,1022,0.01774215339917306,9.0
Top10,M3S_full_symmetric,qualifying_surprise,0.027019005057131864,0.0020923261471483805,1022,0.013348737115482689,10.0
Top10,M3S_full_symmetric,exposure_history_count,0.008625514796635281,-0.0002894117317818999,1022,0.004261434840495673,11.0
Top10,M3S_full_symmetric,driver_incident_rate_last10,0.004850705570531057,-6.645064972235279e-05,1022,0.0023964906682799967,12.0
